tenure_months,monthly_charges,total_charges,contract,internet_service,online_security,tech_support,is_senior,has_partner,has_dependents,paperless_billing,payment_method,churn
40,107.86,4410.94,two_year,dsl,no,yes,0,0,0,yes,credit_card,0
48,83.65,4123.77,month-to-month,fiber,no,yes,0,0,1,yes,bank_transfer,0
67,68.6,4658.49,month-to-month,fiber,no,yes,0,0,0,yes,electronic_check,0
31,62.57,2007.51,month-to-month,fiber,yes,no,0,1,0,yes,electronic_check,1
11,91.65,1110.7,month-to-month,dsl,no,no,0,0,0,yes,bank_transfer,0
59,59.16,3569.94,month-to-month,fiber,no,no,0,0,0,no,credit_card,0
45,92.97,4270.73,one_year,none,no,no,0,1,0,yes,bank_transfer,0
50,80.84,4112.28,one_year,fiber,yes,no,0,1,0,no,electronic_check,0
7,74.89,576.68,one_year,none,no,yes,0,1,0,yes,bank_transfer,0
22,72.91,1699.57,two_year,dsl,no,yes,0,1,0,yes,bank_transfer,0
55,66.5,3729.6,month-to-month,fiber,yes,yes,0,0,0,yes,credit_card,0
59,90.91,5462.84,one_year,fiber,no,yes,0,1,0,no,electronic_check,0
31,52.69,1718.92,month-to-month,fiber,yes,no,0,0,0,yes,electronic_check,0
57,37.56,2180.92,month-to-month,fiber,no,no,0,1,0,no,electronic_check,1
60,82.29,4998.26,month-to-month,dsl,no,no,1,1,0,yes,credit_card,0
27,82.62,2310.12,month-to-month,fiber,yes,no,0,0,1,yes,credit_card,0
64,79.6,5158.48,month-to-month,dsl,no,no,0,0,1,no,electronic_check,0
20,78.15,1634.96,month-to-month,fiber,no,no,0,0,0,yes,mailed_check,0
17,63.59,1139.5,month-to-month,none,yes,yes,1,1,0,yes,mailed_check,0
49,85.75,4277.43,two_year,dsl,no,no,0,0,0,yes,electronic_check,1
45,69.09,3158.89,month-to-month,fiber,yes,no,0,1,0,no,bank_transfer,0
10,60.26,682.05,month-to-month,fiber,yes,yes,0,1,0,yes,mailed_check,1
59,63.76,3829.41,two_year,fiber,no,yes,0,0,0,yes,credit_card,0
14,110.41,1651.17,month-to-month,dsl,yes,no,0,1,1,yes,mailed_check,1
57,35.3,2052.75,month-to-month,fiber,no,no,0,0,1,yes,credit_card,1
0,80.0,87.54,two_year,fiber,no,no,0,1,0,yes,electronic_check,1
57,36.42,2114.37,month-to-month,fiber,no,no,0,0,1,yes,mailed_check,0
56,67.84,3876.17,month-to-month,fiber,no,yes,0,0,1,yes,mailed_check,0
56,61.33,3497.45,month-to-month,fiber,no,no,1,0,0,yes,electronic_check,0
47,28.3,1362.19,month-to-month,none,no,no,0,1,1,no,mailed_check,1
33,77.78,2656.24,one_year,dsl,no,no,0,1,0,yes,bank_transfer,0
50,62.4,3184.43,month-to-month,dsl,no,no,0,1,1,yes,mailed_check,1
19,28.02,559.16,month-to-month,fiber,no,no,0,1,0,yes,credit_card,1
56,86.79,4973.59,one_year,fiber,yes,yes,0,1,0,yes,electronic_check,0
40,98.7,4037.27,two_year,fiber,no,no,0,1,0,yes,electronic_check,1
33,99.8,3401.01,month-to-month,dsl,no,no,0,0,0,yes,electronic_check,1
36,77.18,2862.05,month-to-month,dsl,yes,yes,0,1,0,yes,bank_transfer,0
40,70.92,2899.07,two_year,fiber,yes,no,0,0,1,yes,electronic_check,0
2,96.56,274.08,one_year,dsl,yes,no,1,1,1,no,electronic_check,0
10,103.65,1132.81,month-to-month,fiber,yes,no,0,1,0,yes,electronic_check,1
17,92.67,1658.94,month-to-month,fiber,no,yes,1,0,0,yes,electronic_check,1
8,51.17,445.61,one_year,dsl,no,yes,0,1,0,yes,mailed_check,1
31,74.03,2359.31,month-to-month,fiber,yes,yes,1,0,0,yes,mailed_check,0
48,78.79,3864.91,month-to-month,none,no,no,1,1,0,yes,bank_transfer,0
47,33.81,1631.44,two_year,fiber,no,yes,0,1,0,yes,mailed_check,0
33,79.39,2708.06,month-to-month,dsl,no,no,0,0,0,yes,electronic_check,1
61,115.46,7098.49,month-to-month,fiber,yes,no,0,0,0,yes,mailed_check,1
40,82.8,3405.42,month-to-month,none,yes,yes,0,1,0,yes,electronic_check,0
5,99.47,585.72,two_year,fiber,no,yes,0,0,1,no,electronic_check,0
55,73.66,4131.63,month-to-month,dsl,no,yes,0,0,1,yes,bank_transfer,0
41,68.54,2878.49,one_year,dsl,no,no,0,1,1,no,electronic_check,1
45,77.63,3567.99,month-to-month,fiber,no,no,0,0,0,yes,bank_transfer,0
40,53.68,2199.78,month-to-month,fiber,no,yes,0,0,0,yes,bank_transfer,0
39,50.72,2028.57,two_year,none,no,yes,0,1,0,yes,credit_card,0
6,95.33,692.94,month-to-month,none,no,no,0,1,1,yes,electronic_check,0
40,97.45,3995.07,month-to-month,fiber,no,yes,1,1,0,yes,bank_transfer,0
57,50.18,2921.33,one_year,fiber,no,no,0,0,1,no,mailed_check,0
21,89.36,1982.72,month-to-month,dsl,yes,no,0,1,0,yes,bank_transfer,0
43,68.26,3012.55,month-to-month,dsl,no,no,0,0,1,yes,electronic_check,0
2,76.8,202.96,one_year,dsl,yes,yes,0,0,1,yes,mailed_check,0
25,79.2,2076.89,month-to-month,none,yes,no,0,0,0,yes,mailed_check,0
31,89.89,2868.25,one_year,dsl,no,yes,0,1,0,no,electronic_check,0
70,71.65,5097.41,month-to-month,fiber,no,yes,1,0,0,no,electronic_check,0
15,98.2,1552.1,month-to-month,fiber,no,no,0,0,0,no,credit_card,0
19,76.19,1505.74,one_year,dsl,no,yes,0,1,0,yes,bank_transfer,0
29,82.48,2507.0,month-to-month,fiber,yes,yes,0,1,0,yes,mailed_check,1
71,53.33,3829.55,two_year,dsl,yes,yes,0,0,0,yes,bank_transfer,0
61,113.17,7042.48,two_year,fiber,yes,no,0,1,1,yes,electronic_check,0
2,79.4,240.08,two_year,fiber,no,no,0,0,0,no,electronic_check,0
16,84.26,1425.34,month-to-month,fiber,yes,no,0,0,1,yes,bank_transfer,1
59,37.84,2270.06,month-to-month,fiber,yes,yes,0,0,0,yes,bank_transfer,0
4,53.55,253.82,two_year,none,no,yes,0,1,1,yes,bank_transfer,0
61,94.76,5874.86,month-to-month,fiber,yes,yes,1,1,0,yes,mailed_check,0
20,75.74,1574.14,one_year,dsl,no,no,0,0,0,yes,mailed_check,1
66,31.72,2122.73,one_year,fiber,yes,yes,1,0,1,yes,bank_transfer,0
21,90.77,2013.74,month-to-month,none,no,no,0,0,0,yes,electronic_check,0
31,59.12,1894.85,month-to-month,dsl,no,no,1,1,1,yes,mailed_check,0
47,98.23,4685.92,one_year,dsl,no,no,0,1,0,no,electronic_check,0
9,68.24,694.02,month-to-month,none,yes,no,0,0,0,yes,electronic_check,1
40,74.09,3037.58,month-to-month,none,yes,no,0,1,0,yes,bank_transfer,0
36,93.58,3452.31,month-to-month,dsl,yes,yes,0,0,0,yes,electronic_check,1
56,52.05,2974.62,one_year,fiber,yes,no,0,0,0,yes,bank_transfer,0
71,50.14,3608.4,month-to-month,fiber,no,yes,0,0,0,yes,bank_transfer,0
47,66.07,3155.96,month-to-month,fiber,yes,no,0,0,1,yes,electronic_check,1
29,86.54,2628.18,one_year,fiber,yes,no,0,1,0,no,bank_transfer,0
29,43.38,1301.25,one_year,none,yes,no,0,0,0,yes,electronic_check,0
30,36.64,1135.24,two_year,dsl,no,no,0,1,0,yes,electronic_check,0
58,86.47,5094.72,month-to-month,fiber,no,yes,0,0,0,yes,electronic_check,1
23,57.94,1404.23,two_year,dsl,no,yes,0,0,0,yes,bank_transfer,0
12,62.16,801.55,one_year,fiber,no,no,0,0,0,yes,electronic_check,0
24,32.86,811.35,one_year,fiber,yes,yes,0,0,1,yes,electronic_check,0
1,56.42,105.18,month-to-month,fiber,yes,yes,0,0,0,no,credit_card,1
7,69.85,577.34,month-to-month,none,yes,yes,1,0,0,yes,credit_card,0
6,88.61,635.02,month-to-month,fiber,no,yes,0,1,1,yes,credit_card,1
55,54.58,3053.7,month-to-month,fiber,yes,no,0,1,1,yes,electronic_check,1
52,103.15,5495.28,month-to-month,dsl,yes,no,0,0,0,yes,bank_transfer,0
50,56.31,2880.23,two_year,none,no,no,1,1,1,no,bank_transfer,1
33,56.34,1912.56,month-to-month,fiber,no,no,0,0,0,no,electronic_check,1
51,100.75,5235.66,two_year,fiber,yes,no,0,1,1,no,electronic_check,0
11,74.23,895.65,month-to-month,fiber,no,no,1,1,0,yes,electronic_check,1
64,58.96,3822.59,one_year,fiber,yes,yes,0,0,0,no,credit_card,0
36,66.9,2475.36,month-to-month,fiber,yes,no,0,1,0,yes,mailed_check,0
67,97.06,6606.07,one_year,fiber,yes,yes,0,0,0,no,electronic_check,0
10,99.32,1059.01,month-to-month,dsl,no,yes,0,0,0,yes,electronic_check,1
35,53.66,1929.73,two_year,none,yes,no,1,1,0,yes,credit_card,0
50,69.15,3522.46,month-to-month,none,no,no,0,1,1,yes,mailed_check,0
35,71.8,2599.56,month-to-month,fiber,no,no,0,0,0,yes,credit_card,1
32,50.28,1640.69,two_year,none,no,no,1,0,0,yes,electronic_check,0
11,68.89,821.42,month-to-month,fiber,yes,yes,0,0,0,yes,credit_card,0
27,70.11,1956.32,one_year,fiber,yes,yes,0,0,1,yes,electronic_check,0
17,92.8,1688.22,month-to-month,none,no,yes,0,0,0,no,electronic_check,0
21,94.15,2070.48,month-to-month,fiber,yes,yes,0,0,0,no,credit_card,1
49,63.42,3193.78,month-to-month,fiber,no,no,0,1,0,yes,electronic_check,0
45,65.72,3031.82,month-to-month,fiber,yes,no,0,1,0,no,mailed_check,0
43,83.29,3657.93,month-to-month,fiber,no,yes,1,1,0,yes,electronic_check,1
26,58.3,1576.89,month-to-month,dsl,no,yes,0,0,0,yes,bank_transfer,0
69,81.77,5718.11,one_year,none,no,yes,1,0,0,no,electronic_check,0
6,68.24,489.41,two_year,dsl,no,no,0,1,0,yes,mailed_check,0
24,50.61,1251.77,month-to-month,fiber,yes,yes,1,1,1,no,electronic_check,0
8,50.86,449.36,month-to-month,dsl,yes,yes,0,1,0,yes,credit_card,0
24,98.94,2482.52,month-to-month,fiber,yes,yes,0,0,0,no,credit_card,1
69,66.87,4697.29,one_year,fiber,no,yes,0,1,0,no,bank_transfer,0
26,102.81,2730.59,month-to-month,fiber,yes,yes,0,0,0,yes,credit_card,0
65,59.73,3958.6,one_year,fiber,yes,no,1,0,0,yes,mailed_check,0
35,75.82,2727.39,month-to-month,dsl,yes,yes,1,0,0,yes,electronic_check,1
50,117.85,5965.95,month-to-month,dsl,yes,yes,0,0,0,yes,electronic_check,0
32,48.85,1582.72,one_year,dsl,no,yes,0,0,1,no,bank_transfer,1
19,32.04,631.0,month-to-month,fiber,no,yes,0,1,0,yes,mailed_check,1
55,95.73,5360.5,month-to-month,none,no,no,0,1,0,yes,electronic_check,0
69,53.46,3741.5,month-to-month,fiber,yes,no,1,0,0,yes,electronic_check,0
18,69.59,1331.02,month-to-month,fiber,no,no,0,0,0,yes,credit_card,1
56,58.28,3315.56,month-to-month,dsl,no,no,0,0,0,yes,electronic_check,0
18,75.36,1415.14,two_year,none,no,yes,1,1,1,yes,electronic_check,0
51,50.99,2647.27,month-to-month,none,no,yes,0,1,0,no,bank_transfer,0
56,66.4,3785.25,month-to-month,fiber,no,yes,0,1,0,yes,bank_transfer,1
32,79.0,2610.65,month-to-month,dsl,no,no,0,1,0,yes,electronic_check,1
53,49.83,2682.96,month-to-month,fiber,no,no,0,0,1,yes,bank_transfer,0
19,56.0,1130.1,two_year,none,no,yes,0,1,0,yes,electronic_check,0
5,63.05,370.46,month-to-month,dsl,no,no,0,0,1,no,electronic_check,1
6,41.42,282.74,month-to-month,fiber,no,yes,0,1,0,yes,mailed_check,1
32,61.55,2024.47,month-to-month,none,yes,yes,0,1,0,yes,credit_card,0
64,72.38,4720.26,two_year,fiber,yes,yes,0,0,0,yes,bank_transfer,0
9,62.01,618.45,two_year,fiber,no,yes,1,0,0,yes,electronic_check,0
32,64.57,2121.84,month-to-month,fiber,no,yes,0,0,1,yes,electronic_check,0
50,69.6,3562.49,month-to-month,none,yes,no,0,0,0,yes,mailed_check,0
14,56.89,877.73,one_year,fiber,yes,yes,0,0,0,yes,electronic_check,0
51,83.82,4362.16,one_year,none,yes,yes,1,0,1,yes,electronic_check,0
22,98.72,2294.92,month-to-month,fiber,yes,yes,0,0,1,no,electronic_check,0
58,60.71,3594.47,one_year,fiber,no,yes,0,0,0,no,electronic_check,0
41,79.7,3337.75,month-to-month,none,no,yes,0,1,0,yes,mailed_check,0
39,65.21,2608.75,month-to-month,fiber,no,yes,0,0,0,yes,electronic_check,0
12,77.31,985.2,month-to-month,dsl,yes,yes,0,0,1,yes,electronic_check,0
33,101.32,3440.73,month-to-month,dsl,no,yes,0,0,0,yes,electronic_check,1
61,80.17,4960.5,month-to-month,fiber,yes,yes,1,1,0,yes,mailed_check,0
1,34.53,66.28,month-to-month,fiber,yes,no,0,0,0,yes,electronic_check,0
54,79.08,4337.54,one_year,dsl,no,no,0,0,1,yes,electronic_check,0
35,94.66,3402.32,two_year,none,yes,yes,0,0,0,yes,electronic_check,0
51,65.57,3416.62,month-to-month,none,no,no,0,0,0,yes,electronic_check,1
47,89.91,4313.53,month-to-month,none,no,no,0,1,1,yes,credit_card,1
31,56.2,1777.44,one_year,fiber,yes,no,0,1,0,no,electronic_check,0
22,40.29,920.66,month-to-month,none,yes,no,0,0,0,yes,bank_transfer,0
45,72.82,3327.59,month-to-month,none,yes,no,0,0,0,yes,bank_transfer,0
10,34.87,385.27,one_year,dsl,yes,no,0,0,1,yes,mailed_check,0
42,65.2,2810.16,month-to-month,none,no,yes,0,0,0,yes,mailed_check,0
6,95.74,675.09,month-to-month,fiber,no,no,0,0,1,no,mailed_check,1
46,31.8,1489.59,one_year,none,no,no,0,1,0,yes,electronic_check,0
45,44.41,2045.05,month-to-month,fiber,no,no,0,0,0,yes,electronic_check,0
6,49.36,340.88,month-to-month,fiber,no,no,0,0,0,yes,electronic_check,0
54,68.73,3764.5,one_year,dsl,no,no,0,1,0,yes,electronic_check,0
29,62.69,1890.0,two_year,dsl,yes,no,1,1,0,yes,mailed_check,0
56,97.98,5600.89,month-to-month,dsl,yes,no,0,0,1,no,electronic_check,0
2,89.09,284.18,one_year,fiber,yes,no,0,1,0,no,credit_card,0
12,79.91,1029.11,month-to-month,none,yes,no,0,1,0,yes,electronic_check,0
35,72.91,2641.96,month-to-month,dsl,no,no,0,1,0,no,electronic_check,1
13,77.86,1082.35,month-to-month,dsl,yes,no,0,0,0,yes,bank_transfer,0
23,52.76,1273.14,month-to-month,fiber,no,yes,0,1,1,yes,credit_card,0
47,87.14,4173.82,month-to-month,dsl,yes,no,1,1,1,no,mailed_check,0
10,47.76,523.22,one_year,dsl,no,no,0,1,1,no,mailed_check,0
48,86.71,4206.8,month-to-month,dsl,yes,no,0,1,1,yes,electronic_check,0
7,93.72,744.1,two_year,fiber,yes,yes,0,0,0,no,credit_card,0
12,74.22,966.21,month-to-month,fiber,no,yes,0,1,1,yes,bank_transfer,1
42,66.48,2853.19,one_year,none,no,yes,0,1,1,yes,electronic_check,0
57,78.01,4551.98,month-to-month,dsl,no,yes,1,1,0,no,bank_transfer,0
12,15.0,191.51,month-to-month,dsl,no,no,0,0,0,no,electronic_check,1
21,76.05,1664.53,one_year,fiber,yes,no,0,1,1,yes,electronic_check,0
66,67.73,4525.65,one_year,none,yes,no,0,0,1,yes,mailed_check,0
71,68.99,4959.5,month-to-month,fiber,yes,yes,0,1,0,no,bank_transfer,0
41,84.13,3550.81,month-to-month,none,yes,no,1,1,0,no,credit_card,0
32,68.5,2280.75,month-to-month,fiber,no,no,0,1,0,yes,electronic_check,0
24,47.2,1173.38,month-to-month,none,no,no,1,1,0,yes,bank_transfer,0
44,67.17,3012.94,month-to-month,fiber,yes,yes,0,1,1,yes,bank_transfer,1
42,71.35,3051.54,one_year,dsl,no,no,0,0,0,yes,electronic_check,0
21,72.3,1609.49,month-to-month,dsl,no,yes,0,0,0,yes,bank_transfer,0
1,73.24,162.9,month-to-month,fiber,yes,yes,1,1,0,yes,credit_card,1
10,90.79,996.77,month-to-month,none,yes,no,0,0,0,yes,mailed_check,1
69,48.28,3366.12,two_year,fiber,no,no,0,1,1,no,mailed_check,0
30,73.51,2259.6,month-to-month,dsl,no,yes,0,1,1,yes,bank_transfer,0
34,95.8,3356.27,month-to-month,dsl,yes,no,0,1,0,no,bank_transfer,0
33,35.31,1204.42,month-to-month,fiber,no,no,0,1,0,no,electronic_check,0
56,73.59,4164.22,one_year,none,yes,no,1,0,0,yes,electronic_check,0
4,58.29,287.7,month-to-month,fiber,no,yes,0,1,1,yes,bank_transfer,1
5,62.59,395.8,month-to-month,fiber,no,yes,0,1,1,no,electronic_check,1
19,51.9,1035.74,month-to-month,fiber,yes,no,0,1,0,yes,credit_card,1
35,66.61,2417.8,two_year,none,no,no,0,0,0,yes,electronic_check,0
48,106.83,5248.54,month-to-month,none,no,no,0,0,0,yes,electronic_check,0
35,44.71,1599.86,month-to-month,dsl,no,yes,0,1,1,yes,bank_transfer,1
31,46.61,1488.79,month-to-month,fiber,no,yes,0,0,1,yes,electronic_check,1
67,43.96,2988.15,month-to-month,none,no,yes,1,1,0,yes,electronic_check,0
11,104.55,1234.68,month-to-month,none,yes,no,0,0,1,no,mailed_check,1
41,60.75,2539.72,month-to-month,fiber,yes,no,0,1,0,yes,credit_card,0
39,69.49,2800.54,month-to-month,dsl,no,yes,0,1,0,yes,electronic_check,0
34,61.94,2155.79,month-to-month,fiber,no,no,1,1,0,yes,bank_transfer,0
58,51.11,3026.51,month-to-month,fiber,yes,no,1,1,0,yes,credit_card,0
19,65.3,1300.3,month-to-month,dsl,no,yes,0,1,0,yes,mailed_check,0
68,119.16,8221.43,month-to-month,none,no,yes,0,1,0,yes,electronic_check,0
23,97.84,2359.15,month-to-month,dsl,yes,no,0,1,1,yes,electronic_check,0
39,52.94,2111.26,month-to-month,none,yes,no,0,0,1,yes,mailed_check,0
37,82.95,3161.52,month-to-month,fiber,no,yes,0,1,1,yes,electronic_check,0
61,53.37,3287.1,one_year,dsl,yes,yes,0,1,0,yes,mailed_check,0
31,34.47,1106.07,two_year,fiber,no,no,1,0,0,no,mailed_check,0
20,90.39,1853.56,one_year,fiber,no,yes,0,0,0,yes,bank_transfer,0
1,93.2,182.17,month-to-month,none,yes,no,0,0,0,no,bank_transfer,0
26,90.92,2470.37,two_year,fiber,no,no,0,1,1,no,bank_transfer,0
59,60.6,3643.54,two_year,dsl,yes,yes,0,1,0,no,electronic_check,0
0,66.66,49.35,month-to-month,none,no,no,0,0,0,yes,mailed_check,1
64,85.0,5505.12,month-to-month,fiber,yes,no,0,0,1,yes,credit_card,0
39,77.83,3102.48,one_year,dsl,no,no,0,1,1,yes,bank_transfer,0
10,62.13,685.74,two_year,none,no,yes,0,0,0,yes,electronic_check,0
21,37.62,812.35,one_year,dsl,no,no,0,1,0,yes,electronic_check,0
39,72.28,2891.01,one_year,dsl,yes,no,0,0,0,yes,bank_transfer,0
22,91.58,2112.04,month-to-month,fiber,yes,yes,0,1,1,yes,mailed_check,0
7,46.05,365.79,two_year,fiber,no,yes,0,0,0,yes,mailed_check,0
47,82.78,3982.14,month-to-month,fiber,yes,no,0,0,1,yes,electronic_check,0
48,76.63,3758.3,month-to-month,none,yes,yes,0,1,0,yes,electronic_check,1
8,85.0,755.79,one_year,dsl,no,yes,0,0,0,yes,electronic_check,0
20,87.44,1802.38,month-to-month,none,no,yes,0,1,0,yes,electronic_check,0
17,56.11,1011.48,month-to-month,dsl,no,no,0,1,0,yes,electronic_check,0
47,37.66,1800.5,month-to-month,dsl,yes,no,0,1,0,no,credit_card,0
52,59.33,3137.63,month-to-month,dsl,no,yes,0,0,1,yes,credit_card,0
52,87.78,4660.75,month-to-month,dsl,no,yes,1,0,0,yes,electronic_check,1
67,59.16,4039.65,month-to-month,fiber,no,no,0,0,0,yes,electronic_check,1
55,56.12,3142.29,month-to-month,none,yes,no,0,1,1,yes,electronic_check,0
23,33.57,809.4,month-to-month,none,no,yes,1,0,0,yes,credit_card,0
7,105.05,810.05,month-to-month,fiber,yes,no,0,1,0,no,electronic_check,0
44,86.51,3897.2,two_year,dsl,no,no,0,1,1,yes,credit_card,0
65,85.4,5635.38,month-to-month,none,no,yes,0,0,0,yes,bank_transfer,0
70,89.35,6365.82,two_year,fiber,no,yes,0,0,0,yes,bank_transfer,0
16,81.53,1377.2,month-to-month,fiber,yes,no,0,1,0,yes,electronic_check,1
17,65.11,1168.83,month-to-month,fiber,no,no,0,1,0,yes,mailed_check,0
2,66.72,214.29,one_year,dsl,no,yes,0,0,0,yes,electronic_check,0
10,61.45,674.82,one_year,fiber,yes,no,0,1,1,yes,bank_transfer,0
39,122.69,4880.39,month-to-month,none,yes,no,0,0,0,yes,mailed_check,0
39,81.12,3286.2,one_year,dsl,no,no,0,1,1,yes,credit_card,0
26,60.72,1626.34,one_year,fiber,no,no,0,1,1,yes,bank_transfer,0
22,79.31,1823.1,month-to-month,none,no,no,0,1,0,yes,credit_card,1
59,49.78,2990.25,month-to-month,fiber,yes,no,0,0,0,yes,mailed_check,0
33,100.09,3408.42,month-to-month,fiber,yes,yes,1,1,0,yes,mailed_check,0
